headline,category,source,published_date,sentiment_score,impact_score,risk_level
debt ceiling debate causes economic uncertainty,economy,Yahoo Finance,2024-07-12,-0.05,79.35,High
diplomatic ties strengthened to support trade,geopolitical,WSJ,2024-05-17,0.13,72.66,Medium
banking sector sees rise in loan defaults,banking,Forbes,2024-07-07,-0.01,62.56,Medium
crypto markets face regulatory crackdown,crypto,CNBC,2024-12-02,-0.24,77.17,High
bull market continues as tech stocks rally,market,Forbes,2024-07-07,0.29,63.99,Medium
economic slowdown feared due to global tensions,economy,Reuters,2024-06-11,-0.57,65.98,Medium
retail spending unexpectedly rises,economy,CNBC,2024-04-30,0.11,70.93,Medium
diplomatic ties strengthened to support trade,geopolitical,WSJ,2024-08-09,0.04,69.37,Medium
bitcoin hits all-time high,crypto,Bloomberg,2024-05-27,0.03,72.38,Medium
shareholders approve company restructuring,corporate,Bloomberg,2025-04-15,-0.18,58.47,Medium
altcoins surge in early morning trade,crypto,Forbes,2024-12-03,0.21,67.44,Medium
debt ceiling debate causes economic uncertainty,economy,WSJ,2024-04-20,0.07,68.85,Medium
company announces massive layoffs,corporate,Bloomberg,2025-03-09,0.02,60.57,Medium
war fears rise as conflict intensifies,geopolitical,WSJ,2025-03-29,-0.28,74.51,Medium
altcoins surge in early morning trade,crypto,Financial Times,2025-02-10,0.3,77.07,High
market correction expected after prolonged rally,market,Reuters,2025-03-27,0.3,83.76,High
blockchain technology adopted by major banks,crypto,Forbes,2024-12-10,0.31,80.33,High
new sanctions imposed affecting exports,geopolitical,Reuters,2024-07-04,0.19,81.11,High
earnings report beats Wall Street expectations,corporate,CNBC,2025-01-23,-0.06,59.69,Medium
consumer confidence falls amid inflation,economy,Bloomberg,2025-01-15,-0.15,66.07,Medium
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2024-09-18,-0.1,76.91,High
peace deal signed after years of negotiation,geopolitical,Reuters,2025-01-25,0.46,72.56,Medium
new sanctions imposed affecting exports,geopolitical,Financial Times,2025-03-28,0.14,69.04,Medium
CEO steps down amid internal probe,corporate,CNBC,2024-08-24,-0.29,64.79,Medium
investors lose millions in crypto rug pull,crypto,Yahoo Finance,2024-12-21,0.01,64.76,Medium
central bank cuts interest rates to boost economy,economy,Forbes,2025-01-08,0.06,69.3,Medium
startup raises $100M in Series B funding,corporate,Reuters,2025-03-12,-0.15,58.33,Medium
NFT trading volume drops sharply,crypto,Forbes,2024-07-30,-0.19,69.59,Medium
startup raises $100M in Series B funding,corporate,Bloomberg,2025-02-16,0.43,64.62,Medium
altcoins surge in early morning trade,crypto,WSJ,2024-12-02,-0.21,74.08,Medium
bull market continues as tech stocks rally,market,WSJ,2024-09-06,0.07,65.31,Medium
NFT trading volume drops sharply,crypto,Financial Times,2024-06-10,-0.36,74.83,Medium
new digital bank attracts thousands of users,banking,Financial Times,2024-06-25,0.1,65.83,Medium
economic slowdown feared due to global tensions,economy,Bloomberg,2024-04-19,-0.64,72.93,High
company announces massive layoffs,corporate,WSJ,2024-07-15,-0.29,56.08,Medium
peace deal signed after years of negotiation,geopolitical,Reuters,2024-09-08,0.35,82.27,High
stocks fall due to global interest rate hikes,market,WSJ,2024-11-07,-0.25,68.34,Medium
new sanctions imposed affecting exports,geopolitical,Forbes,2024-11-14,0.42,86.46,High
bank posts record quarterly losses,banking,Forbes,2024-09-19,-0.5,65.08,Medium
Ethereum upgrade improves scalability,crypto,Forbes,2024-11-16,0.45,73.21,Medium
interest rates impact mortgage applications,banking,CNBC,2024-09-13,0.09,65.22,Medium
military drills raise regional concerns,geopolitical,Forbes,2025-01-17,-0.39,80.55,High
bank posts record quarterly losses,banking,Financial Times,2024-07-10,-0.85,67.63,High
market correction expected after prolonged rally,market,Reuters,2024-12-30,0.15,56.01,Medium
startup raises $100M in Series B funding,corporate,Financial Times,2024-09-02,0.33,52.8,Medium
CEO steps down amid internal probe,corporate,WSJ,2024-08-17,-0.29,60.0,Medium
war fears rise as conflict intensifies,geopolitical,Forbes,2025-03-04,0.29,72.17,Medium
NFT trading volume drops sharply,crypto,Bloomberg,2024-12-17,0.03,70.5,Medium
diplomatic ties strengthened to support trade,geopolitical,CNBC,2025-01-05,-0.2,80.31,High
central bank cuts interest rates to boost economy,economy,Bloomberg,2024-12-12,0.24,65.6,Medium
merger between two tech giants finalized,corporate,Financial Times,2024-09-16,0.01,53.22,Medium
peace deal signed after years of negotiation,geopolitical,Forbes,2024-04-25,0.02,78.61,High
manufacturing giant shuts down plant,corporate,Financial Times,2024-12-13,-0.08,50.01,Medium
central bank cuts interest rates to boost economy,economy,Yahoo Finance,2025-02-21,0.63,64.69,Medium
CEO steps down amid internal probe,corporate,CNBC,2024-04-25,-0.23,61.39,Medium
banking regulations under review,banking,Bloomberg,2024-07-05,0.06,57.79,Medium
GDP growth slows down in Q3,economy,Financial Times,2025-02-07,-0.04,63.13,Medium
startup raises $100M in Series B funding,corporate,Yahoo Finance,2024-09-02,-0.12,61.05,Medium
credit card delinquencies rise sharply,banking,Yahoo Finance,2024-07-10,0.27,60.59,Medium
earnings report beats Wall Street expectations,corporate,Forbes,2024-08-16,0.18,59.24,Medium
shareholders approve company restructuring,corporate,Yahoo Finance,2024-12-11,0.16,60.55,Medium
diplomatic ties strengthened to support trade,geopolitical,Yahoo Finance,2024-07-24,-0.17,74.75,Medium
CEO steps down amid internal probe,corporate,Reuters,2024-09-03,-0.05,58.8,Medium
market correction expected after prolonged rally,market,CNBC,2024-11-28,0.2,63.59,Medium
NFT trading volume drops sharply,crypto,WSJ,2025-03-06,0.06,67.94,Medium
unemployment rate drops to historic low,economy,CNBC,2024-10-02,-0.09,65.34,Medium
war fears rise as conflict intensifies,geopolitical,Forbes,2024-12-28,-0.04,81.09,High
market hits record high despite concerns,market,Financial Times,2024-10-29,0.17,66.62,Medium
banking regulations under review,banking,Financial Times,2025-03-16,0.26,64.01,Medium
consumer confidence falls amid inflation,economy,Financial Times,2024-06-21,0.14,65.55,Medium
trade tensions escalate between major economies,geopolitical,Yahoo Finance,2024-06-26,0.06,75.25,High
manufacturing giant shuts down plant,corporate,Bloomberg,2024-10-18,-0.38,63.68,Medium
Ethereum upgrade improves scalability,crypto,Yahoo Finance,2024-09-14,0.04,81.06,High
banks introduce stricter credit policies,banking,Financial Times,2024-12-25,-0.2,56.93,Medium
Ethereum upgrade improves scalability,crypto,Financial Times,2025-04-02,0.43,80.41,High
startup raises $100M in Series B funding,corporate,Forbes,2024-05-04,0.12,59.94,Medium
earnings report beats Wall Street expectations,corporate,Yahoo Finance,2024-08-20,-0.0,50.51,Medium
central bank cuts interest rates to boost economy,economy,Financial Times,2024-06-17,0.22,64.91,Medium
banking sector sees rise in loan defaults,banking,Bloomberg,2024-05-22,0.4,65.26,Medium
earnings report beats Wall Street expectations,corporate,Yahoo Finance,2024-08-23,-0.17,55.94,Medium
central bank cuts interest rates to boost economy,economy,Reuters,2024-10-04,0.28,66.38,Medium
blockchain technology adopted by major banks,crypto,Financial Times,2024-10-31,0.04,71.82,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2024-09-13,0.25,71.22,Medium
crypto markets face regulatory crackdown,crypto,Financial Times,2025-04-07,-0.29,75.51,High
trade tensions escalate between major economies,geopolitical,Reuters,2024-12-23,-0.29,72.31,Medium
new sanctions imposed affecting exports,geopolitical,Yahoo Finance,2024-05-18,-0.14,76.03,High
stock market crashes amid investor panic,market,CNBC,2025-01-04,-0.34,72.48,Medium
market volatility increases ahead of earnings season,market,CNBC,2025-02-11,0.17,61.75,Medium
merger between two tech giants finalized,corporate,WSJ,2024-12-26,-0.0,49.99,Low
shareholders approve company restructuring,corporate,Yahoo Finance,2024-10-10,-0.0,53.56,Medium
GDP growth slows down in Q3,economy,Yahoo Finance,2025-01-23,0.06,61.76,Medium
crypto markets face regulatory crackdown,crypto,WSJ,2025-04-03,-0.1,79.16,High
Ethereum upgrade improves scalability,crypto,Financial Times,2025-01-05,0.18,74.71,Medium
investors worry about overvalued markets,market,Bloomberg,2024-04-25,0.14,60.09,Medium
crypto markets face regulatory crackdown,crypto,Yahoo Finance,2024-07-01,-0.16,72.46,Medium
stocks fall due to global interest rate hikes,market,WSJ,2024-09-09,0.02,56.43,Medium
oil embargo sends prices soaring,geopolitical,Bloomberg,2024-07-31,0.0,77.49,High
oil embargo sends prices soaring,geopolitical,Bloomberg,2024-09-13,0.29,84.15,High
merger between two tech giants finalized,corporate,Financial Times,2024-10-13,0.43,57.61,Medium
global leaders meet for economic summit,geopolitical,Forbes,2025-01-28,0.17,78.47,High
earnings report beats Wall Street expectations,corporate,Forbes,2024-07-23,0.44,57.56,Medium
diplomatic ties strengthened to support trade,geopolitical,WSJ,2024-07-15,-0.17,74.55,Medium
manufacturing giant shuts down plant,corporate,Financial Times,2024-06-17,-0.82,64.67,High
NFT trading volume drops sharply,crypto,Yahoo Finance,2024-12-12,-0.35,76.0,High
market correction expected after prolonged rally,market,Financial Times,2024-12-13,0.27,73.43,Medium
corporate tax changes spark debate,corporate,Reuters,2025-04-02,0.19,54.97,Medium
startup raises $100M in Series B funding,corporate,CNBC,2024-08-10,-0.18,60.16,Medium
retail spending unexpectedly rises,economy,Yahoo Finance,2024-12-05,-0.06,75.06,High
investors lose millions in crypto rug pull,crypto,WSJ,2024-04-22,0.24,71.25,Medium
bitcoin hits all-time high,crypto,WSJ,2025-01-09,-0.34,81.87,High
investors worry about overvalued markets,market,Forbes,2024-09-20,-0.02,66.49,Medium
CEO steps down amid internal probe,corporate,Forbes,2024-08-16,-0.52,59.8,Medium
global leaders meet for economic summit,geopolitical,Financial Times,2025-04-08,0.0,75.23,High
market correction expected after prolonged rally,market,CNBC,2024-09-21,0.11,64.76,Medium
peace deal signed after years of negotiation,geopolitical,Reuters,2024-05-12,-0.21,77.44,High
fintech firms challenge traditional banks,banking,Financial Times,2024-07-07,0.02,62.87,Medium
fintech firms challenge traditional banks,banking,Financial Times,2024-07-09,0.14,56.48,Medium
NFT trading volume drops sharply,crypto,Forbes,2024-08-27,-0.51,84.04,High
investors lose millions in crypto rug pull,crypto,Reuters,2024-12-19,0.07,67.31,Medium
investors worry about overvalued markets,market,Reuters,2025-02-14,0.31,65.23,Medium
war fears rise as conflict intensifies,geopolitical,CNBC,2024-12-27,0.24,78.94,High
global leaders meet for economic summit,geopolitical,Reuters,2024-06-19,0.41,89.93,High
bank posts record quarterly losses,banking,Bloomberg,2025-01-07,-0.25,68.61,Medium
blockchain technology adopted by major banks,crypto,Reuters,2025-01-15,0.33,81.79,High
bitcoin hits all-time high,crypto,Forbes,2024-07-17,-0.19,76.28,High
economic slowdown feared due to global tensions,economy,Bloomberg,2025-03-20,-0.19,59.06,Medium
bank posts record quarterly losses,banking,Forbes,2025-02-11,-0.44,56.4,Medium
global leaders meet for economic summit,geopolitical,Bloomberg,2025-04-10,-0.05,79.34,High
bank posts record quarterly losses,banking,Financial Times,2024-08-14,0.1,61.87,Medium
startup raises $100M in Series B funding,corporate,CNBC,2025-03-21,0.33,53.05,Medium
crypto volatility scares retail investors,crypto,Bloomberg,2025-03-14,-0.34,74.82,Medium
manufacturing giant shuts down plant,corporate,Bloomberg,2024-06-25,-0.32,59.64,Medium
trade tensions escalate between major economies,geopolitical,CNBC,2025-01-30,-0.41,80.7,High
bank posts record quarterly losses,banking,Bloomberg,2024-12-10,-0.46,70.25,Medium
market hits record high despite concerns,market,WSJ,2024-06-15,0.07,56.35,Medium
banks introduce stricter credit policies,banking,Yahoo Finance,2024-07-23,-0.1,56.2,Medium
manufacturing giant shuts down plant,corporate,Financial Times,2024-11-15,-0.41,65.93,Medium
credit card delinquencies rise sharply,banking,Reuters,2024-06-29,0.0,62.52,Medium
banking sector sees rise in loan defaults,banking,WSJ,2025-02-25,0.09,57.39,Medium
inflation concerns mount as prices rise,economy,Reuters,2024-05-13,-0.02,60.12,Medium
market volatility increases ahead of earnings season,market,CNBC,2025-01-18,-0.11,55.66,Medium
new digital bank attracts thousands of users,banking,CNBC,2025-04-15,0.39,66.03,Medium
manufacturing giant shuts down plant,corporate,Forbes,2024-06-16,-0.54,64.17,Medium
shareholders approve company restructuring,corporate,Bloomberg,2024-12-19,-0.02,54.2,Medium
investors lose millions in crypto rug pull,crypto,Forbes,2024-08-27,0.12,75.59,High
investors worry about overvalued markets,market,Reuters,2024-05-31,-0.11,58.77,Medium
banks introduce stricter credit policies,banking,Financial Times,2025-02-17,-0.06,49.39,Low
banks introduce stricter credit policies,banking,Forbes,2025-01-30,-0.3,71.33,Medium
altcoins surge in early morning trade,crypto,Bloomberg,2025-03-17,0.53,76.7,High
economic slowdown feared due to global tensions,economy,WSJ,2024-06-29,-0.28,70.76,Medium
crypto volatility scares retail investors,crypto,Bloomberg,2024-08-20,0.62,84.9,High
diplomatic ties strengthened to support trade,geopolitical,Forbes,2024-09-22,-0.03,70.67,Medium
crypto volatility scares retail investors,crypto,Financial Times,2025-03-06,-0.32,75.82,High
banking sector sees rise in loan defaults,banking,Financial Times,2024-11-02,0.05,53.64,Medium
bank posts record quarterly losses,banking,Bloomberg,2025-03-01,-0.33,59.54,Medium
central bank cuts interest rates to boost economy,economy,Yahoo Finance,2024-05-07,0.54,77.51,High
bitcoin hits all-time high,crypto,Yahoo Finance,2025-01-17,-0.0,77.4,High
manufacturing giant shuts down plant,corporate,Reuters,2025-01-14,-0.38,56.39,Medium
credit card delinquencies rise sharply,banking,Forbes,2024-08-08,0.5,70.19,Medium
recession fears rattle global markets,market,Reuters,2024-09-19,-0.41,65.2,Medium
NFT trading volume drops sharply,crypto,Forbes,2025-02-22,-0.38,68.79,Medium
retail spending unexpectedly rises,economy,Financial Times,2024-04-26,0.39,80.4,High
shareholders approve company restructuring,corporate,Forbes,2024-09-23,-0.28,62.01,Medium
banking sector sees rise in loan defaults,banking,Financial Times,2025-03-02,0.07,58.61,Medium
investors lose millions in crypto rug pull,crypto,Reuters,2025-02-16,-0.12,67.48,Medium
company announces massive layoffs,corporate,Forbes,2024-07-13,-0.19,53.7,Medium
corporate tax changes spark debate,corporate,Bloomberg,2025-01-10,0.05,55.5,Medium
fintech firms challenge traditional banks,banking,WSJ,2024-08-04,-0.05,56.21,Medium
global leaders meet for economic summit,geopolitical,Yahoo Finance,2025-03-21,-0.12,80.58,High
economic slowdown feared due to global tensions,economy,WSJ,2025-02-08,-0.3,64.61,Medium
crypto volatility scares retail investors,crypto,Forbes,2024-08-11,0.02,74.06,Medium
stock market crashes amid investor panic,market,Forbes,2024-06-09,-0.73,73.67,High
unemployment rate drops to historic low,economy,Reuters,2024-07-08,-0.33,72.8,Medium
market hits record high despite concerns,market,Bloomberg,2024-12-22,-0.15,53.23,Medium
recession fears rattle global markets,market,Bloomberg,2024-05-20,-0.53,68.19,Medium
debt ceiling debate causes economic uncertainty,economy,Forbes,2024-11-18,0.05,61.23,Medium
bank posts record quarterly losses,banking,Financial Times,2024-08-12,-0.07,52.74,Medium
CEO steps down amid internal probe,corporate,Financial Times,2024-07-08,-0.21,52.09,Medium
consumer confidence falls amid inflation,economy,CNBC,2024-06-14,-0.13,67.19,Medium
interest rates impact mortgage applications,banking,Yahoo Finance,2025-03-12,-0.17,60.63,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2024-07-31,0.4,73.12,Medium
bitcoin hits all-time high,crypto,Reuters,2024-11-15,0.17,66.9,Medium
banking regulations under review,banking,Yahoo Finance,2025-01-30,0.11,68.86,Medium
manufacturing giant shuts down plant,corporate,Reuters,2024-10-28,-0.89,64.37,High
credit card delinquencies rise sharply,banking,Financial Times,2024-11-03,0.32,63.78,Medium
inflation concerns mount as prices rise,economy,WSJ,2024-10-02,0.07,63.03,Medium
consumer confidence falls amid inflation,economy,Bloomberg,2024-11-05,0.02,64.52,Medium
global leaders meet for economic summit,geopolitical,Forbes,2024-10-03,0.23,79.72,High
earnings report beats Wall Street expectations,corporate,Financial Times,2025-03-29,0.07,53.99,Medium
retail spending unexpectedly rises,economy,Yahoo Finance,2025-02-24,0.1,64.34,Medium
merger between two tech giants finalized,corporate,WSJ,2024-08-26,0.08,54.1,Medium
market volatility increases ahead of earnings season,market,Financial Times,2024-05-16,0.06,71.28,Medium
GDP growth slows down in Q3,economy,Financial Times,2024-12-02,0.17,65.92,Medium
Ethereum upgrade improves scalability,crypto,Forbes,2025-03-06,0.44,74.56,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2024-05-31,-0.21,68.11,Medium
global leaders meet for economic summit,geopolitical,Yahoo Finance,2024-07-13,-0.37,78.79,High
bull market continues as tech stocks rally,market,CNBC,2024-05-28,0.2,71.38,Medium
diplomatic ties strengthened to support trade,geopolitical,CNBC,2025-03-01,0.07,74.95,Medium
merger between two tech giants finalized,corporate,Yahoo Finance,2024-05-27,0.17,46.49,Low
new sanctions imposed affecting exports,geopolitical,Financial Times,2025-01-21,0.05,79.6,High
diplomatic ties strengthened to support trade,geopolitical,Bloomberg,2025-03-24,-0.3,85.22,High
bitcoin hits all-time high,crypto,Reuters,2024-10-15,0.07,68.97,Medium
Ethereum upgrade improves scalability,crypto,CNBC,2024-12-12,0.33,86.3,High
credit card delinquencies rise sharply,banking,WSJ,2024-05-02,0.24,64.84,Medium
unemployment rate drops to historic low,economy,CNBC,2025-03-07,-0.29,65.1,Medium
credit card delinquencies rise sharply,banking,WSJ,2024-05-02,0.37,61.27,Medium
debt ceiling debate causes economic uncertainty,economy,WSJ,2025-02-02,0.01,62.76,Medium
debt ceiling debate causes economic uncertainty,economy,Forbes,2024-12-07,0.1,68.17,Medium
shareholders approve company restructuring,corporate,Forbes,2025-04-12,0.21,55.6,Medium
shareholders approve company restructuring,corporate,Forbes,2024-07-11,-0.05,50.86,Medium
GDP growth slows down in Q3,economy,Financial Times,2024-10-22,-0.09,68.24,Medium
bank posts record quarterly losses,banking,Forbes,2024-09-11,-0.05,56.14,Medium
diplomatic ties strengthened to support trade,geopolitical,Financial Times,2024-11-13,0.17,84.33,High
consumer confidence falls amid inflation,economy,Yahoo Finance,2024-08-12,0.08,75.58,High
investors worry about overvalued markets,market,Financial Times,2024-06-28,-0.15,56.03,Medium
investors lose millions in crypto rug pull,crypto,Forbes,2024-11-16,-0.36,82.88,High
market hits record high despite concerns,market,Reuters,2025-04-12,0.13,61.67,Medium
banking sector sees rise in loan defaults,banking,WSJ,2024-08-05,0.26,58.27,Medium
blockchain technology adopted by major banks,crypto,WSJ,2024-10-18,0.69,81.0,High
inflation concerns mount as prices rise,economy,WSJ,2024-12-09,0.02,68.93,Medium
war fears rise as conflict intensifies,geopolitical,Forbes,2025-02-26,0.1,77.62,High
trade tensions escalate between major economies,geopolitical,Reuters,2024-09-03,-0.16,79.76,High
stocks fall due to global interest rate hikes,market,Forbes,2025-02-08,0.38,72.43,Medium
market correction expected after prolonged rally,market,Reuters,2024-09-16,0.52,65.24,Medium
inflation concerns mount as prices rise,economy,CNBC,2024-07-14,-0.2,67.37,Medium
investors lose millions in crypto rug pull,crypto,Yahoo Finance,2025-01-22,0.01,75.62,High
crypto volatility scares retail investors,crypto,Yahoo Finance,2024-11-16,-0.34,82.75,High
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2025-02-17,-0.03,73.32,Medium
merger between two tech giants finalized,corporate,CNBC,2024-12-22,-0.2,49.73,Low
military drills raise regional concerns,geopolitical,Yahoo Finance,2024-07-05,-0.04,75.97,High
crypto markets face regulatory crackdown,crypto,Yahoo Finance,2024-09-26,-0.46,70.42,Medium
market correction expected after prolonged rally,market,WSJ,2025-02-12,0.13,70.3,Medium
startup raises $100M in Series B funding,corporate,Forbes,2024-05-07,-0.05,48.23,Low
Ethereum upgrade improves scalability,crypto,Yahoo Finance,2024-05-25,0.15,70.89,Medium
crypto markets face regulatory crackdown,crypto,Forbes,2024-12-18,-0.74,80.83,High
company announces massive layoffs,corporate,WSJ,2024-07-03,-0.25,62.23,Medium
blockchain technology adopted by major banks,crypto,Forbes,2025-03-15,0.57,84.18,High
global leaders meet for economic summit,geopolitical,Forbes,2024-11-13,-0.05,70.22,Medium
military drills raise regional concerns,geopolitical,Bloomberg,2025-02-04,0.31,79.95,High
stock market crashes amid investor panic,market,Reuters,2024-08-07,-0.4,65.88,Medium
bull market continues as tech stocks rally,market,CNBC,2024-07-15,0.24,62.88,Medium
